File Name,Rouge-1 F,Rouge-2 F,Rouge-L F
1953_24.txt,0.21818181447768598,0.05018587048714106,0.13652560569390754
1953_28.txt,0.292834886012364,0.057851234768117356,0.2018767114627269
1957_52.txt,0.3659305943870474,0.12164579106480095,0.3069507592997864
1958_3.txt,0.11940298320338608,0.030518818529446226,0.06535859722743002
1959_151.txt,0.3214285664366431,0.07792207292515181,0.2580966146544913
1961_34.txt,0.18518518157793212,0.07384615075862735,0.12898354428373277
1962_303.txt,0.22390891387273215,0.034308774631217336,0.1685645236973628
1963_170.txt,0.19886363267110022,0.06932408686765061,0.12451524251815817
1964_144.txt,0.2711864358274059,0.08695651699292314,0.23067891697569282
1965_111.txt,0.2565597617659309,0.06349205850340175,0.2446942171206668
1966_154.txt,0.13725489789119583,0.05498281391386525,0.10447356835605666
1966_236.txt,0.26973683710547963,0.06122448484798041,0.23024322772952097
1967_267.txt,0.3950617233950922,0.2244039220722744,0.3604894316442678
1968_197.txt,0.25060240518345195,0.07356947805860191,0.16513474477902293
1969_324.txt,0.07751937603749794,0.010309275138166586,0.055964495537099375
1969_57.txt,0.3180592942219252,0.18072288669854128,0.27163336041205155
1971_111.txt,0.2890173363351599,0.06279434388600444,0.1924497225029632
1971_138.txt,0.23645319705246437,0.0500736328665785,0.21474321106273656
1971_336.txt,0.16172506352351418,0.04255318810469257,0.1022463894025737
1971_49.txt,0.23584905190459243,0.06191950017233975,0.177919521131859
1972_11.txt,0.12631578674293634,0.018320608496661298,0.0712838964109241
1972_291.txt,0.3737704868618114,0.21951219020655705,0.3524981732469677
1972_31.txt,0.33282442256912775,0.08239094838806693,0.27740447064979057
1972_62.txt,0.2160919498322104,0.023715411176067874,0.14383558843081645
1973_186.txt,0.27343749559082037,0.07633587358131187,0.1547855082906953
1976_176.txt,0.241610733652313,0.08520178903728233,0.1930558528985806
1976_200.txt,0.21505375946063135,0.05384614977396481,0.1365362321854218
1976_43.txt,0.28246013196029496,0.06329113467918636,0.21787840746928364
1979_104.txt,0.26815642022018665,0.10920436406842873,0.17761340388866315
1979_110.txt,0.20209058825286216,0.025575443439276965,0.12231799009671653
1979_158.txt,0.31772574757301375,0.08227227711105023,0.25763636345890745
1979_33.txt,0.1676190443511293,0.03442340463975431,0.09935206619607072
1980_221.txt,0.07748183864242626,0.009887004385713079,0.03732494019243146
1980_39.txt,0.22485206624557977,0.05263157427092994,0.19516411478366505
1980_91.txt,0.2624113428436699,0.054545450240082984,0.19588271152328482
1981_49.txt,0.15596329815672094,0.025477702619985342,0.1276797764951238
1982_28.txt,0.16806722323345033,0.033783780472060224,0.11020418318339455
1983_129.txt,0.13864306471088841,0.03514644055301578,0.08219611568559179
1983_27.txt,0.1551020375197002,0.023323612052461553,0.1028382298439263
1983_37.txt,0.11949685244412805,0.01705756666790972,0.06719366108900503
1984_115.txt,0.21631205311478302,0.0684647267904308,0.12877685602013567
1984_118.txt,0.17253520735594696,0.03479701383076457,0.10893961421962912
1985_113.txt,0.1976047859813906,0.05252524812194711,0.15939378983882618
1985_114.txt,0.4634760656630015,0.24924924440620808,0.397386863622072
1986_218.txt,0.18456375421360535,0.026359139682928127,0.1281533731012584
1987_154.txt,0.14516128579214374,0.01041666245008851,0.09635844621738762
1987_189.txt,0.22448979179352355,0.02142856760816395,0.1415139688696411
1987_315.txt,0.274193543960718,0.05457025521601997,0.20509602918379488
1987_37.txt,0.3240223413813552,0.09677418855131399,0.2668108248783302
1988_88.txt,0.1959183641469388,0.04301075001922204,0.1281004709573336
1989_233.txt,0.09090908694214893,0.0,0.06771799628897943
1990_171.txt,0.25263157447977846,0.09670329229861148,0.17654650566564795
1990_96.txt,0.19480519029094293,0.03686635495253724,0.1434304235656312
1991_12.txt,0.10480348898609884,0.011494248355134554,0.06584539987809085
1991_48.txt,0.321070229167459,0.18108651437316062,0.3012839962254261
1992_144.txt,0.09542743340893016,0.03930130850377097,0.04762357378426882
1992_182.txt,0.15602836413862495,0.0,0.11308845912251858
1992_47.txt,0.23809523316054432,0.03012047712530923,0.20425691093338544
1992_76.txt,0.2499999954340721,0.12426035063898337,0.20016466835864713
Average F,0.22450820395183915,0.06427077915376075,0.16855444512275208
